Indicator,Type,Description,,
192.151.234.182,IP,TeamServer IP,,
192.151.234.183,IP,TeamServer IP,,
192.151.234.184,IP,TeamServer IP,,
192.151.234.185,IP,TeamServer IP,,
192.151.234.186,IP,TeamServer IP,,
192.151.234.187,IP,TeamServer IP,,
192.151.234.188,IP,TeamServer IP,,
192.151.234.189,IP,TeamServer IP,,
192.151.234.190,IP,TeamServer IP,,
192.99.250.2 ,IP,TeamServer IP,,
58.82.212.227,IP,TeamServer IP,,
1186914578623be126e5f3e8c058d719,Public key,SSL Public Key MD5,,
59a93a5f9dc4a83134f59bd75ca13123,Public Key,SSL Public Key MD5,,
8ac540617dddcdf575f6dc207abb7344,Public Key,SSL Public Key MD5 (also used by Dopplepaymer),,
e9ae865f5ce035176457188409f6020a,Public Key,SSL Public Key MD5 (used across different groups),,
0029b3c8dce8359e6e9fa4626f511532df48f27fd8428be6a1133465127eb24a,SHA256,Beacon,,
061ff3cf159a74e1fa2ce89029ebf5557145e13b200f8ba033b6332b74374d4c,SHA256,Beacon,,
06c79bccc0fc32da30c7e6c290ee42be7c32acf56822deb7711eacbd8a543531,SHA256,Beacon,,
07c5798c4fd2d205cac34e949473df370f4f6b35307e023643a2760e6737305e,SHA256,Beacon,,
09a06c66ab9ebb356653b1174888051ee759f27da195f0a9b6e89e81fbf12744,SHA256,Beacon,,
11a9f3fdccf7ad421071058af9624beb745d2e66fde711296d38d96b2c9c19ac,SHA256,Beacon,,
17ef26e45e739b2c1fe1bac300fd6b20698a02409db97c07167c48f8c80e6fde,SHA256,Beacon,,
1c4aa94697125ec1e04783971b6d6daa625d6e421c1f47fe76759e8647962da9,SHA256,Beacon,,
29c3ac7cac8e5df51d866565bf50435b57643178175aef62a095189d8868b43f,SHA256,Beacon,,
2af7469e5f105226b6bc4f66556aee2c2d43601eefcaa975ed81c2c2e55794f9,SHA256,Beacon,,
3a502922bc58101ee7d973c0af6fb56154ff31264aff8c422e070028a8281b19,SHA256,Beacon,,
3a9f245781cd23613c62862815640e4c18f231d1fae5d070732c30645630a088,SHA256,Beacon,,
5011e270ae4afbf1a2266e11a65770ec096cbad9bf6907ad5bce7ede521418e6,SHA256,Beacon,,
5c472df29f53313dc9949420478fe62e7c0ec764988a0a0700931bd1db0248cb,SHA256,Beacon,,
666abe71cf7bebf39374901d15bbe64acff40779ef8759e8eafc73a27c2ad8dd,SHA256,Beacon,,
66dc95c8374b55a625b30b1d2b6dcbc0bca47aa1b310c69c778b42b1bd473bcb,SHA256,Beacon,,
685f135cdfbbf14bcb7d1c7c491afb48121f246b64397a63862af24ce882e05b,SHA256,Beacon,,
6ed1860356d438fcfea3ce7ed65670db6ea12ab89eed1941979564f082145b85,SHA256,Beacon,,
8076e6d9a4885e73fc391eae59c248e62a55b34c466d2bbe978dd722e96d8162,SHA256,Beacon,,
81f7aa518a135e5fe805b5de7219d4f8075ba09fd9faafea43b7c1ec8e0e7fec,SHA256,Beacon,,
8f2d86bc75beab21f4cef006b399bbfc5111dedbe0ff4d1c2776f49bcf14feef,SHA256,Beacon,,
97316b4e8fe154eb03283ffb9195b467e6056bbcf4daa8c72015971b1af9cb7d,SHA256,Beacon,,
9b9cf73ac3435661d9e5a855d9a4e27397042595cbeba1553272f04bd306e589,SHA256,Beacon,,
b3bc9a0ce5257f99d74360693e53b79341227736f99d29f45fb5a3e28faff119,SHA256,Beacon,,
b42e5b80596d030cbdb4d4f7d189f8062946c06066620e8a081ed88952c73a40,SHA256,Beacon,,
b4d58b3bd591948f0c310b7d5a8c9f23cf87f00c869bebba6757e1c4d598456b,SHA256,Beacon,,
c2112d3261870375089a92ce8f022499ed7ca4795243ed4f21cafe31b0bfbc64,SHA256,Beacon,,
c677bd20879995817501c6a71ec47452993c31c7fba79fc31069995653ec1245,SHA256,Beacon,,
c81e83be9ab971a8cc52f86bec606e5ecf7538eb2a9f268a824d703c101c21cc,SHA256,Beacon,,
ce7aedcefcee212375ad71e453b518bd360b1ecce8ac25a83af5d0988eaac434,SHA256,Beacon,,
d3730a0d3500bcc0b6f0b7a8229dc8d20ce828c1a69d835c2a00aa2a572bdc2f,SHA256,Beacon,,
d4ecaa8b07075ac4feb359db5038dc5b72493f5e50df5f11c461328a8443c6a9,SHA256,Beacon,,
d800941554ef72346058de42f2cf409f44d58d92e7a2bd198c3dca4a39e07094,SHA256,Beacon,,
d905c2b07ad09ac0c742e089b2370ee8c15568960f18e89eb38ba06979f814e3,SHA256,Beacon,,
dd9d40d22cdd53b8c9e41146e5bf403810bac632d98a01693ce05e126dfc1c92,SHA256,Beacon,,
e471ed7daa852dec4a9653ac7dbbe9ea6644cd8075b5b1494eeb7d36f932a941,SHA256,Beacon,,`
f4080fea6605052165eebe0d82de5d32dded1d0f05841d9c020185132ae60e65,SHA256,Beacon,,
f50e57dceb05f3113ed6f4a0fad5fc3e2ed9b1a74747a45e20840f450b0f06a2,SHA256,Beacon,,
1bff7e7b7594c95e883017e11107e8a7c1986f1624b832d4381c2fa868ccff72,SHA256,Shellcode,,
1effcec9ff97ff3b254df68270107f05e665ddbe1ecc9611dcb07d6b2b65ed8d,SHA256,Shellcode,,
3a12becd4f9a22d3eefba67b8619887c3387e1a2a359fd62861209a739c35d42,SHA256,Shellcode,,
3b40ec1a1141a8a530a313822de57f88c50e0a75fcd97190345110d86a44a211,SHA256,Shellcode,,
3ffb544f2560c4909bf120f949a2d9e1eeff63bf39ce8ec3fb8aec583b0e408e,SHA256,Shellcode,,
518f7564485cd4b425c9414088ef973c9958418033bf1fc8b90f7ee024ae141c,SHA256,Shellcode,,
52c3e0dec8902f5788051bbacdde1bc4248fe27cafd2979c7c47f564495f3c66,SHA256,Shellcode,,
549c8dea92c8770aa358b9d746f7ba3bc8151465b783272235bf4a76018c539b,SHA256,Shellcode,,
5db4189bf169eb4a5d5184a1509ac5a2025f32facfeabcc985d5c1160e58cd52,SHA256,Shellcode,,
62eb732ec7b51d521a91fef584d93d74534525b81e13694c40b4a28ab47cb81c,SHA256,Shellcode,,
66263cf99bbe5ddbf74543eba1df28452251981e57be39d96fcef96e91a111a8,SHA256,Shellcode,,
6b7fa7c53494579e102b1f474edda09a983b59dc5d239f657c38e4d43c46f7db,SHA256,Shellcode,,
6e29cfaeb0df65ca15b7cbf43f83b2e63b29fe3cf131bd0737ebd3c5d264e6e7,SHA256,Shellcode,,
75da45f9f241c1ca7a2b9c1849e29eb3aead088772fc15905d4b439959b88fe3,SHA256,Shellcode,,
860a237947a9d746e19127b94eedefbaebc917470a40864a95162f69dff9e8ee,SHA256,Shellcode,,
862a2410dca3051864958c01138d91d3a61c8ee737c96e9e2fa110018346780d,SHA256,Shellcode,,
8c7540117710151d951cb2c529684704dabdfe5e8189cf3fbe8b7eb5cc60353a,SHA256,Shellcode,,
8f3de574e4789881fe2de3a6037d120ff11efae1308d4b3502b05f2a4affaffc,SHA256,Shellcode,,
9a4b5ebe97de9566cbeab1cb9c41c9f961edbb6e2339fea9ee10e12f72c92e2c,SHA256,Shellcode,,
a451bed0f1eb7b3a7381d958a567747477b23a548891d710a4c94eff610f4a76,SHA256,Shellcode,,
b5d9319806e1027f993f7eaaac2c265e37f2751bb6b5f0a146e0330d6a4e9661,SHA256,Shellcode,,
b9bc6d27063a908cc0144eef54a8e1a562fe725771c41fb8ff2326a7cbf7a124,SHA256,Shellcode,,
c4160cd35629dcef9b12d8d6dc5bf8104508da2b3d8f0c5cefab8882bd3ed1fc,SHA256,Shellcode,,
c4bd9f5e12853745f5561c6434d7804dd7fd2785404de91850b03828c48cd87a,SHA256,Shellcode,,
c579aa976db13b0e5224162420712c9936edac4021c141e428885a3c6c04126f,SHA256,Shellcode,,
cea034f33a6d56660419f3d7a5ac9a943d01b6fc272abbb85cd7cfbda719fedf,SHA256,Shellcode,,
